,playerID,yearID,nameLast,nameFirst,OPS,RBI/AB,DPH,FBH,BCA,R,BA,BABIP,bpcsum,name,bpcn
969,pearcst01,2018,Pearce,Steve,0.8901139627536366,0.19534883720930232,0.14634146341463414,0.17647058823529413,0.7523809523809524,35,0.2837209302325581,0.30303030303030304,2.0143143405791855,"Steve,Pearce",0.4353857603360898
1408,wongko01,2017,Wong,Kolten,0.7880391346286344,0.11864406779661017,1.3333333333333333,0.37037037037037035,0.7352941176470589,55,0.2853107344632768,0.3310580204778157,2.012347690442674,"Kolten,Wong",0.28821788210876664
762,lemahdj01,2016,LeMahieu,DJ,0.9108331599750363,0.11956521739130435,1.1395348837209303,0.20408163265306123,0.7688172043010753,104,0.34782608695652173,0.3875802997858672,2.0032972143204772,"DJ,LeMahieu",0.3059068372784901
283,cruzne02,2017,Cruz,Nelson,0.9237549495287491,0.21402877697841727,0.6987951807228916,0.20454545454545456,0.6589147286821705,91,0.28776978417266186,0.3151041666666667,2.0012439097347916,"Nelson,Cruz",0.27711410140088444
176,cabremi01,2015,Cabrera,Miguel,0.974112645345522,0.17715617715617715,0.30526315789473685,0.1595744680851064,0.6902887139107612,64,0.337995337995338,0.38368580060422963,2.001132004497567,"Miguel,Cabrera",0.3054875421975467
953,ozunama01,2017,Ozuna,Marcell,0.9236762631929212,0.20228384991843393,1.75,0.21951219512195122,0.6536796536796536,93,0.31158238172920066,0.3548387096774194,1.9991519619129599,"Marcell,Ozuna",0.2750221535790527
1193,santaca01,2017,Santana,Carlos,0.8181600968342448,0.138353765323993,0.47674418604651164,0.27906976744186046,0.7575757575757576,90,0.2591943957968476,0.2741228070175439,1.993159387175856,"Carlos,Santana",0.2690295788419488
1363,turneju01,2017,Turner,Justin,0.9446696326919506,0.15536105032822758,0.9245283018867925,0.14655172413793102,0.7454545454545455,72,0.32166301969365424,0.32558139534883723,1.9920369526126547,"Justin,Turner",0.2679071442787475
598,harpebr03,2017,Harper,Bryce,1.0078397212543555,0.20714285714285716,1.8571428571428572,0.2,0.5754716981132075,95,0.319047619047619,0.3559322033898305,1.99045427651042,"Bryce,Harper",0.2663244681765129
42,altuvjo01,2016,Altuve,Jose,0.9276085434173669,0.15,0.8688524590163934,0.28,0.6218905472636815,108,0.3375,0.3471971066907776,1.9794990906810483,"Jose,Altuve",0.2821087136390612
1124,reynoma01,2018,Reynolds,Mark,0.8033877298078909,0.1941747572815534,1.0,0.24,0.7403846153846154,26,0.24757281553398058,0.2878787878787879,1.9779471024740598,"Mark,Reynolds",0.3990185222309641
234,cervefr01,2018,Cervelli,Francisco,0.8088323443025836,0.1716867469879518,0.6923076923076923,0.26666666666666666,0.7281553398058253,39,0.25903614457831325,0.30833333333333335,1.9753410977630272,"Francisco,Cervelli",0.39641251751993156
1061,poseybu01,2015,Posey,Buster,0.8491892187855716,0.17055655296229802,0.4631578947368421,0.2785714285714286,0.6747211895910781,74,0.3177737881508079,0.3204868154158215,1.9730383899103765,"Buster,Posey",0.2773939276103563
1239,simmoan01,2018,Simmons,Andrelton,0.7541962235494777,0.13537906137184116,1.2941176470588236,0.35294117647058826,0.7284768211920529,68,0.2924187725631769,0.2996031746031746,1.97099328258396,"Andrelton,Simmons",0.3920647023408643
1278,springe01,2017,Springer,George,0.8887239665188186,0.1551094890510949,0.7222222222222222,0.20833333333333334,0.7175,112,0.28284671532846717,0.2972972972972973,1.9696667889032469,"George,Springer",0.2455369805693397
102,beltrad01,2016,Beltre,Adrian,0.8792533233276157,0.1783876500857633,1.037037037037037,0.3,0.6111111111111112,89,0.30017152658662094,0.2930327868852459,1.9687520845244901,"Adrian,Beltre",0.271361707482503
207,casteni01,2016,Castellanos,Nick,0.8274465618315126,0.1411192214111922,5.888888888888889,0.3333333333333333,0.6666666666666666,54,0.2846715328467153,0.34494773519163763,1.9685657832427048,"Nick,Castellanos",0.2711754062007177
442,freemfr01,2016,Freeman,Freddie,0.9684720109168327,0.15449915110356535,1.793103448275862,0.1875,0.658008658008658,102,0.30220713073005095,0.37017994858611825,1.968479820029056,"Freddie,Freeman",0.27108944298706894
177,cabremi01,2016,Cabrera,Miguel,0.9562505414536948,0.1815126050420168,1.1764705882352942,0.12195121951219512,0.7076923076923077,92,0.31596638655462184,0.336322869955157,1.9674066737002147,"Miguel,Cabrera",0.2700162966582276
1192,santaca01,2016,Santana,Carlos,0.8645608567090226,0.14948453608247422,0.36507936507936506,0.18181818181818182,0.7709923664122137,89,0.25945017182130586,0.2577092511013216,1.9668559410218922,"Carlos,Santana",0.26946556397990507
800,maldoma01,2014,Maldonado,Martin,0.7073873873873874,0.14414414414414414,0.625,0.4,0.7090909090909091,14,0.23423423423423423,0.29333333333333333,1.9606224406224406,"Martin,Maldonado",0.5144124008231781
673,iannech01,2017,Iannetta,Chris,0.8654597915115413,0.15808823529411764,0.4418604651162791,0.15555555555555556,0.7814569536423841,38,0.2536764705882353,0.3076923076923077,1.9605605360035985,"Chris,Iannetta",0.2364307276696913
748,lambja01,2017,Lamb,Jake,0.8444206134680926,0.1958955223880597,0.8867924528301887,0.14285714285714285,0.777292576419214,89,0.24813432835820895,0.28690807799442897,1.9604658551325091,"Jake,Lamb",0.23633604679860198
444,freemfr01,2018,Freeman,Freddie,0.8924074099504264,0.15857605177993528,1.0566037735849056,0.2878787878787879,0.6214285714285714,94,0.30906148867313915,0.3582089552238806,1.960290821037721,"Freddie,Freeman",0.38136224079462533
443,freemfr01,2017,Freeman,Freddie,0.9890873717721966,0.16136363636363638,0.9777777777777777,0.125,0.6825396825396826,84,0.3068181818181818,0.335423197492163,1.9579906906755156,"Freddie,Freeman",0.2338608823416084
347,donaljo02,2016,Donaldson,Josh,0.9534048755294902,0.17157712305025996,0.6160714285714286,0.0707070707070707,0.7610062893081762,122,0.28422876949740034,0.29952830188679247,1.9566953585949969,"Josh,Donaldson",0.25930498155300974
533,gonzama01,2017,Gonzalez,Marwin,0.9066234546703297,0.1978021978021978,0.36036036036036034,0.1774193548387097,0.670846394984326,67,0.3032967032967033,0.34328358208955223,1.9526914022955633,"Marwin,Gonzalez",0.2285615939616561
994,peralda01,2018,Peralta,David,0.8678629595160541,0.15535714285714286,1.3714285714285714,0.275,0.6533333333333333,75,0.29285714285714287,0.3284313725490196,1.95155343570653,"David,Peralta",0.3726248554634344
237,cespeyo01,2016,Cespedes,Yoenis,0.8838625589683848,0.17954070981210857,0.7291666666666666,0.22972972972972974,0.6577946768060836,72,0.2797494780793319,0.2976878612716763,1.950927675316307,"Yoenis,Cespedes",0.2535372982743198
587,gyorkje01,2016,Gyorko,Jedd,0.8009360730593607,0.1475,0.5227272727272727,0.24390243902439024,0.7567567567567568,58,0.2425,0.24363636363636362,1.9490952688405077,"Jedd,Gyorko",0.2517048917985205
61,arenano01,2015,Arenado,Nolan,0.8979835953520163,0.21103896103896103,0.44881889763779526,0.22905027932960895,0.6098654708520179,97,0.28733766233766234,0.28421052631578947,1.9479383065726041,"Nolan,Arenado",0.25229384427258394
1243,smoakju01,2017,Smoak,Justin,0.8833594976452119,0.16071428571428573,0.7215189873417721,0.13333333333333333,0.7702702702702703,85,0.26964285714285713,0.28535353535353536,1.9476773869631012,"Justin,Smoak",0.22354757862919405
652,hollima01,2016,Holliday,Matt,0.782329228424649,0.16230366492146597,0.0,0.3333333333333333,0.6666666666666666,48,0.24607329842931938,0.2534246575342466,1.9446328933461148,"Matt,Holliday",0.24724251630412764
3,abreujo02,2017,Abreu,Jose,0.9064090177133656,0.1642512077294686,0.6527777777777778,0.29411764705882354,0.5787037037037037,95,0.30434782608695654,0.3298097251585624,1.9434815762053614,"Jose,Abreu",0.21935176787145427
1244,smoakju01,2018,Smoak,Justin,0.8075940927426076,0.15247524752475247,0.6744186046511628,0.3076923076923077,0.673202614379085,67,0.24158415841584158,0.2966360856269113,1.9409642623387529,"Justin,Smoak",0.3620356820956572
383,encared01,2017,Encarnacion,Edwin,0.880855617285285,0.1931407942238267,0.6727272727272727,0.17073170731707318,0.6961538461538461,96,0.2581227436823105,0.2706185567010309,1.940881964980031,"Edwin,Encarnacion",0.2167521566461239
124,bogaexa01,2018,Bogaerts,Xander,0.8827619815823082,0.20077972709551656,0.6351351351351351,0.18421052631578946,0.6730769230769231,72,0.2884990253411306,0.31725888324873097,1.9408291580705372,"Xander,Bogaerts",0.36190057782744156
108,bettsmo01,2017,Betts,Mookie,0.8026998497101553,0.1624203821656051,0.8301886792452831,0.23376623376623376,0.7416666666666667,101,0.2643312101910828,0.2679245283018868,1.9405531323086609,"Mookie,Betts",0.21642332397475372
1132,rizzoan01,2016,Rizzo,Anthony,0.9283546642037208,0.18696397941680962,0.6078431372549019,0.19491525423728814,0.6288659793814433,94,0.2915951972555746,0.3094170403587444,1.9390998772392618,"Anthony,Rizzo",0.24170950019727466
282,cruzne02,2016,Cruz,Nelson,0.9149983582062959,0.17826825127334464,0.6101694915254238,0.18518518518518517,0.6587301587301587,96,0.2869269949066214,0.3197969543147208,1.9371819533949846,"Nelson,Cruz",0.23979157635299742
1088,ramirjo01,2017,Ramirez,Jose,0.9565493937586962,0.14188034188034188,0.8539325842696629,0.17073170731707318,0.6666666666666666,107,0.31794871794871793,0.31910569105691056,1.9358281096227778,"Jose,Ramirez",0.21169830128887068
348,donaljo02,2017,Donaldson,Josh,0.9441167897396037,0.18795180722891566,1.2820512820512822,0.10714285714285714,0.6963350785340314,65,0.26987951807228916,0.2893772893772894,1.935546532645408,"Josh,Donaldson",0.21141672431150083
1333,tayloch03,2017,Taylor,Chris,0.8499821888529622,0.14007782101167315,0.41304347826086957,0.2,0.745398773006135,85,0.28793774319066145,0.36079545454545453,1.9354587828707701,"Chris,Taylor",0.21132897453686295
870,mccutan01,2014,McCutchen,Andrew,0.9524646300802018,0.15145985401459855,0.5412844036697247,0.09722222222222222,0.7339449541284404,89,0.31386861313868614,0.35507246376811596,1.935091660445463,"Andrew,McCutchen",0.48888162064620055
1304,suareeu01,2018,Suarez,Eugenio,0.8919533319555865,0.19734345351043645,0.925,0.1111111111111111,0.7317073170731707,79,0.2827324478178368,0.32212885154061627,1.9321152136503048,"Eugenio,Suarez",0.3531866334072091
564,gregodi01,2018,Gregorius,Didi,0.8285546613011402,0.17063492063492064,1.2439024390243902,0.2549019607843137,0.6756756756756757,89,0.26785714285714285,0.2589928057553957,1.9297672183960501,"Didi,Gregorius",0.35083863815295446
1057,polloaj01,2016,Pollock,A. J.,0.7163308589607635,0.0975609756097561,0.5,0.5,0.6153846153846154,9,0.24390243902439024,0.25806451612903225,1.9292764499551351,"A. J.,Pollock",0.231886072913148
